,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
1152,1153,Mirilla,Lothlorien,Female,53,1995-01-17,Desktop Support Technician,Health,Mass Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,Yes,3.0
1153,1154,Chase,Youd,Male,26,1974-11-24,Research Nurse,Health,Mass Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,Yes,20.0
1154,1155,Janetta,Hartrick,Female,73,1994-01-15,VP Marketing,Property,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,Yes,9.0
1155,1156,Breena,Risebrow,Female,22,1997-10-16,Marketing Assistant,Argiculture,Mass Customer,N,ï»¿,Yes,1.0
1156,1157,Saunder,Camerati,Male,69,1974-04-03,Research Nurse,Health,Affluent Customer,N,Ã¥ÃâÆÂ©ËâËÂ¬â¦Ã¦,Yes,17.0
1158,1159,Elbert,Bridgement,Male,94,1993-01-28,Librarian,Entertainment,Mass Customer,N,100,No,1.0
1159,1160,Trisha,Nisuis,Female,98,1965-04-08,Speech Pathologist,IT,Affluent Customer,N,<script>alert('hi')</script>,No,10.0
1160,1161,Sibylle,Cutsforth,Female,86,1977-01-14,Senior Quality Engineer,Retail,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,15.0
1162,1163,Manolo,Dwire,Male,77,1981-11-13,Cost Accountant,Financial Services,High Net Worth,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,Yes,8.0
1163,1164,Gilligan,Mowat,Female,97,1977-01-09,Food Chemist,Health,Mass Customer,N,1,Yes,17.0
1164,1165,Fanni,Wakelin,Female,58,1993-06-23,Administrative Assistant IV,Financial Services,High Net Worth,N,',No,2.0
1165,1166,Fannie,Devil,Female,40,1972-12-05,Quality Control Specialist,Health,Affluent Customer,N,â«testâ«,No,8.0
1166,1167,Elberta,Crickett,Female,20,1996-06-03,Software Test Engineer III,Health,Mass Customer,N,âââ,No,4.0
1167,1168,Iosep,Shaddick,Male,44,1965-02-16,Pharmacist,Health,Affluent Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,18.0
1168,1169,Kessiah,Corden,Female,33,1967-08-09,Actuary,Financial Services,Mass Customer,N,1,Yes,13.0
1169,1170,Lari,Rotte,Female,62,1964-11-30,Assistant Professor,IT,Mass Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,4.0
1172,1173,Gertie,Chaim,Female,58,1978-03-02,Statistician IV,Retail,High Net Worth,N,',No,16.0
1176,1177,Bobbette,Pozzi,Female,47,1953-08-31,Food Chemist,Health,Affluent Customer,N,100,Yes,6.0
1177,1178,Angelo,Byne,Male,1,1970-05-26,Pharmacist,Health,Mass Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,No,13.0
1179,1180,Gaye,Quickenden,Female,48,1975-08-17,Account Representative I,Financial Services,Affluent Customer,N,ï½ï½¨(Â´âï½â©,No,10.0
1180,1181,Brita,Plant,Female,2,1978-06-06,Tax Accountant,Argiculture,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,8.0
1181,1182,Carolann,Ottiwill,Female,84,1975-01-11,Data Coordiator,IT,Mass Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,7.0
1183,1184,Auberta,Teodori,Female,89,1968-10-07,Social Worker,Health,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,No,13.0
1185,1186,Brantley,Cecchi,Male,70,1977-05-28,Help Desk Operator,Manufacturing,Affluent Customer,N,-1,Yes,20.0
1188,1189,Mart,Bazoche,Male,22,1988-08-29,Geologist I,Health,High Net Worth,N,-100,Yes,8.0
1189,1190,Sib,Gilby,Female,67,1968-09-07,Assistant Professor,Financial Services,Affluent Customer,N,â¢,Yes,10.0
1191,1192,Hollyanne,McCarter,Female,31,1969-12-12,VP Quality Control,Manufacturing,Mass Customer,N,â«testâ«,No,16.0
1192,1193,Quintus,Whear,Male,58,1986-01-21,Safety Technician I,Retail,High Net Worth,N,../../../../../../../../../../../etc/hosts,No,5.0
1194,1195,Ally,Folliott,Female,0,1978-03-22,VP Marketing,Telecommunications,Mass Customer,N,Ì¡ÍÍÌIÍÌÌÌ¦nÍÍÍvÌ®Ì«okÌ²Ì«ÌÍiÌÍÌ­Ì¹Ì ÌnÌ¡Ì»Ì®Ì£ÌºgÌ²ÍÍÌ­ÍÌ¬Í Ì°tÍÌ¦hÌÌ²eÌ¢Ì¤ ÍÌ¬Ì²ÍfÌ´ÌÍÌ£eÍÍeÌ£Ì¥Ì©lÍÍÍiÍ ÍÍÌ¦nÍÍÌÍÌ³Ì®gÍ Ì¨oÍ¡ÍÌªfÌÌ£Ì¬ ÌÌÍÌÍÌ®cÒÍÌ«ÍÍÍÍÍhÌµÌ¤Ì£ÍÍaÍÌÌ¼ÍÍoÌ¼Ì£Ì¥sÍ¢Ì±ÍÌºÌÌ¦Ì».ÌÌ,No,18.0
1195,1196,Phillie,Bradforth,Female,23,1998-03-19,Research Nurse,Health,Mass Customer,N,"''''""",No,2.0
1196,1197,Isobel,Lampett,Female,44,1997-10-16,Professor,Financial Services,High Net Worth,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,5.0
1197,1198,Alina,Rickson,Female,73,1973-09-30,Sales Representative,Retail,High Net Worth,N,",./;'[]\-=",No,7.0
1198,1199,Ludovico,Bertot,Male,7,1958-06-14,VP Accounting,Financial Services,Affluent Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,Yes,5.0
1199,1200,Hedda,Lathom,Female,38,1974-04-30,Librarian,Entertainment,High Net Worth,N,â¢,No,18.0
1202,1203,Claresta,Carnier,Female,38,1988-05-06,Technical Writer,Health,Affluent Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,No,22.0
1203,1204,Trudy,Huffy,Female,12,1971-03-24,Senior Developer,Manufacturing,Affluent Customer,N,â°â´âµâââ,Yes,16.0
1204,1205,Barton,Baudts,Male,38,1978-06-05,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,00ËÆ$-,No,13.0
1205,1206,Lucina,Metcalf,Female,13,1978-05-07,Paralegal,Financial Services,Mass Customer,N,-100,No,13.0
1206,1207,Mabel,Marousek,Female,30,1997-09-25,Engineer IV,Health,Mass Customer,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",No,1.0
1207,1208,Lira,Durn,Female,23,1983-12-26,Budget/Accounting Analyst IV,Financial Services,Mass Customer,N,1,No,15.0
1208,1209,Jacky,Jerosch,Male,40,1977-09-06,Senior Developer,Property,High Net Worth,N,../../../../../../../../../../../etc/passwd%00,Yes,11.0
1210,1211,Gunar,Petasch,Male,45,1978-07-23,VP Sales,Financial Services,Affluent Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,14.0
1211,1212,Cindy,Freeborn,Female,28,1968-10-24,Legal Assistant,Property,Affluent Customer,N,â¡,No,13.0
1213,1214,Martino,Shalcros,Male,0,1989-05-01,Internal Auditor,Property,High Net Worth,N,ã,No,15.0
1214,1215,Dyann,Turbard,Female,79,1967-02-26,VP Quality Control,Manufacturing,Mass Customer,N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",No,11.0
1215,1216,Frank,Vallerine,Female,15,1959-06-25,Software Test Engineer I,Telecommunications,Affluent Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,10.0
1216,1217,Dulcinea,Janssen,Female,67,1968-08-19,Structural Engineer,Manufacturing,High Net Worth,N,',No,16.0
1220,1221,Byrom,Draisey,Male,75,1995-09-25,VP Product Management,Health,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,Yes,14.0
1221,1222,Barbey,Ville,Female,83,1970-11-01,Account Executive,Property,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19.0
1223,1224,Aundrea,Reisenberg,Female,9,1977-04-04,Junior Executive,Manufacturing,Mass Customer,N,-1,No,16.0
1224,1225,Arte,Witchell,Male,5,1988-01-22,Clinical Specialist,Health,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,Yes,10.0
1225,1226,Constantia,Sirr,Female,32,1981-03-16,Director of Sales,Health,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,Yes,13.0
1226,1227,Carlina,Pencot,Female,63,1989-09-30,Software Engineer I,IT,Affluent Customer,N,ç°ä¸­ããã«ããã¦ä¸ãã,Yes,12.0
1227,1228,Marti,Bisterfeld,Female,43,1962-04-27,Senior Cost Accountant,Financial Services,Affluent Customer,N,åè£½æ¼¢èª,No,6.0
1228,1229,Sebastian,Trass,Male,38,2000-01-08,GIS Technical Architect,Manufacturing,Affluent Customer,N,-1,Yes,1.0
1230,1231,Aloisia,Shawel,Female,94,1973-07-28,Social Worker,Health,Affluent Customer,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,No,18.0
1231,1232,Stillmann,Wilfling,Male,83,1959-09-12,Help Desk Operator,Property,Affluent Customer,N,ç¤¾æç§å­¸é¢èªå­¸ç ç©¶æ,No,20.0
1234,1235,Sharon,Cranage,Female,24,1969-02-28,Dental Hygienist,Health,Mass Customer,N,ð©ð½,No,9.0
1235,1236,Bryanty,Megarrell,Male,75,1974-05-21,Web Designer IV,Financial Services,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,Yes,18.0
1236,1237,Junia,Humerstone,Female,6,1969-12-31,Research Nurse,Health,High Net Worth,N,"×Ö¼Ö°×¨Öµ××©×Ö´××ª, ×Ö¼Ö¸×¨Ö¸× ×Ö±×Ö¹×Ö´××, ×Öµ×ª ×Ö·×©Ö¼×Ö¸×Ö·×Ö´×, ×Ö°×Öµ×ª ×Ö¸×Ö¸×¨Ö¶×¥",No,16.0
1239,1240,Pen,Earey,Female,64,1965-05-13,Sales Associate,Manufacturing,Mass Customer,N,00ËÆ$-,Yes,19.0
1240,1241,Lolly,Junkison,Female,23,1986-03-22,Pharmacist,Health,Affluent Customer,N,1'; DROP TABLE users--,Yes,11.0
1241,1242,Bartholomeo,Meeke,Male,36,1973-02-04,Human Resources Assistant III,Property,High Net Worth,N,"<>?:""{}|_+",Yes,18.0
1242,1243,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,"""'",No,8.0
1244,1245,Erin,Shawell,Male,34,1994-05-31,Product Engineer,Manufacturing,Affluent Customer,N,1,No,1.0
1246,1247,Hildagarde,Eyrl,Female,15,1960-10-05,Geologist I,Entertainment,Affluent Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,11.0
1249,1250,Jacklyn,Kewley,Female,42,2001-11-02,Help Desk Technician,Manufacturing,Mass Customer,N,0/0,No,1.0
1250,1251,Codie,Arnecke,Male,63,1997-10-01,Desktop Support Technician,Property,Mass Customer,N,ï»¿,No,2.0
1251,1252,Les,Ellwood,Male,46,1965-01-16,Recruiting Manager,Manufacturing,Mass Customer,N,ÌÌºÍÌ¹Ì¯ÍTÌ±Ì¤ÍÌ¥ÍÍhÍÌ²eÍÍÌ¼ÌÌÌ¼Ì£Í ÍÌÌ±Ì ÍÍÍNÍ ÍeÌÌ±zÌÌÌÌºÍpÌ¤ÌºÌ¹ÍÌ¯ÍeÍÌ Ì»Ì rÌ¨Ì¤ÍÌºÌÍÌÌdÍÌ ÌÌ­Ì¬ÌiÌ¦ÍÌ©ÍÍÌ¤aÌ ÌÌ¬ÍÌnÍÍ Ì»ÌÌ°ÍÍhÌµÍiÌ³ÌvÌ¢ÍeÍÌ­Í-ÒÌ­Ì©Ì¼ÍmÌ¤Ì­Ì«iÍÍÌÌ¦nÌÍdÌ£Ì ÍÌ¯Ì²ÍoÌ¨ÌÌ¯Ì°Ì²,Yes,14.0
1255,1256,Granny,Lukes,Male,8,1986-05-11,Food Chemist,Health,High Net Worth,N,../../../../../../../../../../../etc/passwd%00,No,9.0
1256,1257,Prentiss,MacVicar,Male,40,1972-06-19,Assistant Professor,Property,Affluent Customer,N,âââ,Yes,9.0
1257,1258,Nefen,Ferriere,Male,89,1978-04-21,Geological Engineer,Manufacturing,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,6.0
1258,1259,Emmi,Dymock,Female,23,1973-11-24,Assistant Professor,Financial Services,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,No,9.0
1259,1260,Fremont,Spawton,Male,92,1989-10-01,Tax Accountant,Property,Mass Customer,N,Ì¡ÍÍÌIÍÌÌÌ¦nÍÍÍvÌ®Ì«okÌ²Ì«ÌÍiÌÍÌ­Ì¹Ì ÌnÌ¡Ì»Ì®Ì£ÌºgÌ²ÍÍÌ­ÍÌ¬Í Ì°tÍÌ¦hÌÌ²eÌ¢Ì¤ ÍÌ¬Ì²ÍfÌ´ÌÍÌ£eÍÍeÌ£Ì¥Ì©lÍÍÍiÍ ÍÍÌ¦nÍÍÌÍÌ³Ì®gÍ Ì¨oÍ¡ÍÌªfÌÌ£Ì¬ ÌÌÍÌÍÌ®cÒÍÌ«ÍÍÍÍÍhÌµÌ¤Ì£ÍÍaÍÌÌ¼ÍÍoÌ¼Ì£Ì¥sÍ¢Ì±ÍÌºÌÌ¦Ì».ÌÌ,No,9.0
1260,1261,Candice,Lohde,Female,61,1971-02-16,Legal Assistant,Manufacturing,Mass Customer,N,ï»¿,No,4.0
1264,1265,Kipper,Monck,Male,72,1987-07-22,Biostatistician I,Property,Mass Customer,N,-1,Yes,2.0
1266,1267,Leopold,Dainton,Male,39,1979-06-03,Safety Technician IV,Entertainment,Affluent Customer,N,100,Yes,19.0
1268,1269,Ravid,Kilgallon,Male,56,1990-08-25,Account Coordinator,Property,High Net Worth,N,-1,Yes,7.0
1269,1270,Cullen,Langshaw,Male,72,1983-02-27,Paralegal,Financial Services,Affluent Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,No,10.0
1270,1271,Jo-anne,Pringer,Female,71,1994-07-11,Accounting Assistant II,Telecommunications,Mass Customer,N,Ù¡Ù¢Ù£,Yes,6.0
1272,1273,Hieronymus,Whinray,Male,48,1974-07-31,General Manager,Financial Services,Affluent Customer,N,â£,Yes,14.0
1273,1274,Emmerich,Tinkler,Male,12,1977-11-16,Mechanical Systems Engineer,Manufacturing,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,20.0
1274,1275,Francisca,Whittek,Female,70,1966-01-10,General Manager,Health,Mass Customer,N,',Yes,8.0
1275,1276,Farrel,Waiting,Male,24,1964-06-07,Dental Hygienist,Health,Affluent Customer,N,ÌÌºÍÌ¹Ì¯ÍTÌ±Ì¤ÍÌ¥ÍÍhÍÌ²eÍÍÌ¼ÌÌÌ¼Ì£Í ÍÌÌ±Ì ÍÍÍNÍ ÍeÌÌ±zÌÌÌÌºÍpÌ¤ÌºÌ¹ÍÌ¯ÍeÍÌ Ì»Ì rÌ¨Ì¤ÍÌºÌÍÌÌdÍÌ ÌÌ­Ì¬ÌiÌ¦ÍÌ©ÍÍÌ¤aÌ ÌÌ¬ÍÌnÍÍ Ì»ÌÌ°ÍÍhÌµÍiÌ³ÌvÌ¢ÍeÍÌ­Í-ÒÌ­Ì©Ì¼ÍmÌ¤Ì­Ì«iÍÍÌÌ¦nÌÍdÌ£Ì ÍÌ¯Ì²ÍoÌ¨ÌÌ¯Ì°Ì²,No,4.0
1277,1278,Betsy,Schruurs,Female,14,1998-11-15,Pharmacist,Health,Affluent Customer,N,ð©ð½,No,2.0
1278,1279,Burr,Lygoe,Male,30,1962-08-12,Staff Accountant I,Financial Services,Mass Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,20.0
1279,1280,Horacio,Peyntue,Male,71,1978-01-24,Marketing Assistant,Manufacturing,High Net Worth,N,"__ï¾(,_,*)",Yes,15.0
1280,1281,Leighton,Zisneros,Male,29,1968-07-07,Administrative Assistant III,Manufacturing,Affluent Customer,N,â,Yes,16.0
1281,1282,Garald,Pidler,Male,99,1980-11-15,Programmer Analyst III,Entertainment,Affluent Customer,N,00ËÆ$-,Yes,14.0
1282,1283,Tory,Minnette,Female,43,1994-08-23,Clinical Specialist,Health,Mass Customer,N,ã,No,1.0
1283,1284,Alexis,Aronov,Male,30,1976-01-28,Junior Executive,Entertainment,Affluent Customer,N,ì¸ëë°í ë¥´,No,11.0
1285,1286,Mina,Clawley,Female,83,1975-06-28,Senior Quality Engineer,Manufacturing,High Net Worth,N,-0.5,Yes,16.0
1286,1287,Nicko,Saddleton,Male,72,1960-10-23,Systems Administrator I,Financial Services,Mass Customer,N,á ,Yes,20.0
1287,1288,Abra,Cuardall,Female,51,1979-10-07,Desktop Support Technician,Financial Services,Affluent Customer,N,ï»¿,Yes,18.0
1289,1290,Vassily,Ramalho,Male,49,1967-08-08,VP Marketing,Financial Services,High Net Worth,N,â¢,Yes,6.0
1290,1291,Warner,Zuker,Male,0,1980-08-16,Quality Engineer,Health,Mass Customer,N,âââ,No,12.0
1292,1293,Vidovic,Fretson,Male,89,1980-10-07,Quality Engineer,IT,Mass Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,No,8.0
1294,1295,Irving,Murton,Male,66,1997-01-25,Nurse,Argiculture,Mass Customer,N,â©testâ©,Yes,5.0
1295,1296,Essy,Vondrak,Female,61,1989-03-11,Paralegal,Financial Services,Affluent Customer,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,Yes,9.0
1296,1297,Shay,Gimbart,Male,91,1981-02-12,Social Worker,Health,Mass Customer,N,â¢,No,3.0
1297,1298,Guglielmo,Yele,Male,35,1974-04-06,Research Nurse,Health,Mass Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,No,16.0
1299,1300,Sisely,Strelitzer,Female,0,1991-03-10,Physical Therapy Assistant,Financial Services,Affluent Customer,N,Ã¥ÃâÆÂ©ËâËÂ¬â¦Ã¦,Yes,9.0
1301,1302,Ericka,Eggers,Female,29,1998-05-03,Biostatistician I,Financial Services,Affluent Customer,N,â°â´âµâââ,Yes,2.0
1304,1305,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,1/0,Yes,6.0
1305,1306,Doyle,Oleksinski,Male,13,1956-04-12,Occupational Therapist,Health,Affluent Customer,N,1'; DROP TABLE users--,Yes,13.0
1306,1307,Emlyn,Musgrave,Female,73,1970-09-06,Dental Hygienist,Health,High Net Worth,N,ð,Yes,10.0
1309,1310,Keane,Leebeter,Male,38,1986-12-20,Geological Engineer,Manufacturing,High Net Worth,N,1/0,Yes,13.0
1310,1311,Sharona,Cunah,Female,89,1984-10-06,VP Accounting,Financial Services,Mass Customer,N,nil,Yes,13.0
1311,1312,Magda,Baugh,Female,96,1994-07-16,Food Chemist,Health,Affluent Customer,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,No,8.0
1312,1313,Hughie,Laboune,Male,59,1986-02-09,Analyst Programmer,Property,Mass Customer,N,ï¼ï¼ï¼,No,22.0
1313,1314,De,Eilhart,Female,25,1970-02-23,Clinical Specialist,Health,Mass Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,Yes,6.0
1315,1316,Steven,Castellaccio,Male,79,1990-03-06,Recruiter,Retail,High Net Worth,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,Yes,18.0
1316,1317,Barrett,Lindley,Male,2,1973-01-18,General Manager,Retail,Mass Customer,N,2018-02-01 00:00:00,Yes,5.0
1320,1321,Bree,Domenge,Female,29,1994-07-05,Editor,Argiculture,Affluent Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,No,8.0
1321,1322,Kathye,Christie,Female,37,2001-10-16,Data Coordiator,Financial Services,Mass Customer,N,ð©ð½,Yes,1.0
1323,1324,Randie,Arnowitz,Female,88,1978-02-22,Web Designer III,Manufacturing,Mass Customer,N,ï»¿,No,11.0
1324,1325,Ty,Belliard,Male,67,1968-08-25,Account Executive,Argiculture,High Net Worth,N,100,Yes,14.0
1325,1326,Goddard,Tinn,Male,15,1966-02-23,Biostatistician III,Health,Affluent Customer,N,<svg><script>0<1>alert('XSS')</script>,Yes,5.0
1326,1327,Sarita,Khosa,Female,57,1995-11-25,Director of Sales,Property,Affluent Customer,N,ï»¿,No,6.0
1327,1328,Stavro,Gargett,Male,19,1981-09-02,Budget/Accounting Analyst IV,IT,Mass Customer,N,100,Yes,6.0
1330,1331,Edward,Hawkwood,Male,12,1987-03-24,Tax Accountant,Telecommunications,High Net Worth,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,No,17.0
1332,1333,Phillipp,McMonnies,Male,4,1973-08-23,Compensation Analyst,Financial Services,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,9.0
1333,1334,Cicily,Jenks,Female,72,1998-10-23,Senior Financial Analyst,Financial Services,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,4.0
1336,1337,Damara,Wheatland,Female,15,1988-03-08,Structural Engineer,Health,Mass Customer,N,1,No,10.0
1338,1339,Mariam,Guiel,Female,82,1978-12-09,Editor,IT,High Net Worth,N,ð¾ ð ð ð ð ð ð ð§,No,14.0
1340,1341,Parry,Rigolle,Male,65,1986-05-18,Computer Systems Analyst I,Financial Services,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,15.0
1342,1343,Creight,Deery,Male,67,1979-12-10,Dental Hygienist,Health,High Net Worth,N,NIL,No,5.0
1343,1344,Renelle,Tutin,Female,20,1995-11-02,Tax Accountant,Manufacturing,Mass Customer,N,á ,No,4.0
